0,0.17,15,15
0.21,0.4,15,15
0.41,0.61,15,15
0.62,0.83,15,15
0.82,1.04,15,15
1.03,1.22,15,15
1.23,1.4,15,15
1.44,1.62,15,15
1.64,1.84,15,15
1.85,2.02,15,15
2.05,2.08,15,15
2.26,2.04,15,15
2.46,2.01,15,15
2.67,2.03,15,15
2.87,2,15,15
3.08,1.98,15,15
3.28,2,15,15
3.49,1.98,15,15
3.7,1.97,15,15
3.9,1.99,15,15
4.11,1.97,15,15
4.31,2.05,15,15
4.52,2.12,15,15
4.72,2.1,15,15
4.93,2.18,15,15
5.13,2.24,15,15
5.34,2.28,15,15
5.54,2.35,15,15
5.75,2.38,15,15
5.95,2.45,15,15
6.16,2.48,15,15
6.36,2.42,15,15
6.57,2.41,15,15
6.77,2.44,15,15
6.98,2.43,15,15
7.19,2.46,15,15
7.39,2.49,15,15
7.6,2.52,15,15
7.8,2.54,15,15
8.01,2.52,15,15
8.21,2.58,15,15
8.42,2.69,15,15
8.62,2.7,15,15
8.83,2.73,15,15
9.03,2.79,15,15
9.24,2.82,15,15
9.44,2.87,15,15
9.65,2.85,15,15
9.85,2.87,15,15
10.06,2.9,27.8,10
10.26,2.88,27.8,10
10.47,2.87,27.8,10
10.68,2.91,27.8,10
10.88,2.94,27.8,10
11.09,2.98,27.8,10
11.29,3.03,27.8,10
11.5,3.04,27.8,10
11.7,3.11,27.8,10
11.91,3.17,27.8,10
12.11,3.25,27.8,10
12.32,3.35,27.8,10
12.52,3.47,27.8,10
12.73,3.54,27.8,10
12.93,3.61,27.8,10
13.14,3.64,27.8,10
13.34,3.75,27.8,10
13.55,3.87,27.8,10
13.75,3.92,27.8,10
13.96,3.99,27.8,10
14.17,4.05,27.8,10
14.37,4.07,27.8,10
14.58,4.08,27.8,10
14.78,4.15,27.8,10
14.99,4.2,27.8,10
15.19,4.26,27.8,10
15.4,4.27,27.8,10
15.6,4.3,27.8,10
15.81,4.36,27.8,10
16.01,4.44,27.8,10
16.22,4.55,27.8,10
16.42,4.61,27.8,10
16.63,4.67,27.8,10
16.83,4.73,27.8,10
17.04,4.81,27.8,10
17.24,4.88,27.8,10
17.45,4.94,27.8,10
17.65,5,27.8,10
17.86,5.1,27.8,10
18.07,5.16,27.8,10
18.27,5.13,27.8,10
18.48,5.19,27.8,10
18.68,5.26,27.8,10
18.89,5.33,27.8,10
19.09,5.37,27.8,10
19.3,5.47,27.8,10
19.5,5.54,27.8,10
19.71,5.55,27.8,10
19.91,5.57,27.8,10
20.12,5.64,27.8,10
20.32,5.74,27.8,10
20.53,5.8,27.8,10
20.73,5.9,27.8,10
20.94,5.96,27.8,10
21.14,6.02,27.8,10
21.35,6.04,27.8,10
21.55,6.1,27.8,10
21.76,6.2,27.8,10
21.96,6.3,27.8,10
22.17,6.4,27.8,10
22.37,6.49,27.8,10
22.58,6.59,27.8,10
22.78,6.64,27.8,10
22.99,6.7,27.8,10
23.19,6.81,27.8,10
23.4,6.86,27.8,10
23.6,6.96,27.8,10
23.81,7.05,27.8,10
24.01,7.1,27.8,10
24.22,7.12,27.8,10
24.42,7.13,27.8,10
24.63,7.15,27.8,10
24.84,7.17,27.8,10
25.04,7.27,27.8,10
25.25,7.32,27.8,10
25.45,7.42,27.8,10
25.66,7.48,27.8,10
25.86,7.49,27.8,10
26.07,7.5,27.8,10
26.27,7.55,27.8,10
26.48,7.6,27.8,10
26.68,7.7,27.8,10
26.89,7.8,27.8,10
27.09,7.84,27.8,10
27.3,7.89,27.8,10
27.5,7.9,27.8,10
27.71,7.96,27.8,10
27.91,8.01,27.8,10
28.12,8.07,27.8,10
28.32,8.16,27.8,10
28.53,8.26,27.8,10
28.73,8.31,27.8,10
28.94,8.36,27.8,10
29.14,8.41,27.8,10
29.35,8.42,27.8,10
29.55,8.51,27.8,10
29.76,8.57,27.8,10
29.96,8.66,27.8,10
30.17,8.75,27.8,10
30.37,8.8,27.8,10
30.58,8.85,27.8,10
30.78,8.9,27.8,10
30.99,8.95,27.8,10
31.19,9,27.8,10
31.4,9.05,27.8,10
31.6,9.1,27.8,10
31.81,9.14,27.8,10
32.01,9.19,27.8,10
32.22,9.24,27.8,10
32.42,9.28,27.8,10
