0,0.14,15
0.2,0.27,15
0.41,0.45,15
0.61,0.64,15
0.82,0.79,15
1.02,0.92,15
1.23,1.07,15
1.43,1.21,15
1.64,1.36,15
1.84,1.52,15
2.05,1.55,15
2.25,1.57,15
2.46,1.55,15
2.66,1.48,15
2.87,1.46,15
3.07,1.46,15
3.28,1.44,15
3.48,1.47,15
3.69,1.45,15
3.89,1.47,15
4.1,1.49,15
4.3,1.49,15
4.51,1.47,15
4.71,1.53,15
4.92,1.55,15
5.12,1.57,15
5.33,1.65,15
5.53,1.67,15
5.74,1.74,15
5.94,1.76,15
6.15,1.78,15
6.35,1.79,15
6.56,1.87,15
6.76,1.9,15
6.97,2.01,15
7.17,2.07,15
7.38,2.08,15
7.58,2.15,15
7.79,2.17,15
7.99,2.16,15
8.2,2.2,15
8.4,2.22,15
8.61,2.19,15
8.81,2.21,15
9.02,2.14,15
9.22,2.17,15
9.43,2.16,15
9.63,2.11,15
9.84,2.09,15
10.04,2.15,15
10.25,2.16,15
10.45,2.19,15
10.66,2.27,15
10.86,2.3,15
11.07,2.37,15
11.27,2.39,15
11.48,2.44,15
11.68,2.45,15
11.89,2.53,15
12.09,2.55,15
12.3,2.53,15
12.5,2.6,15
12.71,2.56,15
12.91,2.57,15
13.12,2.56,15
13.32,2.6,15
13.53,2.58,15
13.73,2.61,15
13.94,2.62,15
14.14,2.63,15
14.35,2.66,15
14.55,2.69,15
14.76,2.76,15
14.96,2.78,15
15.17,2.87,15
15.37,2.88,15
15.58,2.94,15
15.78,3,15
15.99,3.07,15
16.19,3.1,15
16.4,3.16,15
16.6,3.17,15
16.81,3.19,15
17.01,3.21,15
17.22,3.19,15
17.42,3.2,15
17.63,3.24,15
17.83,3.27,15
18.04,3.24,15
18.24,3.25,15
18.45,3.27,15
18.65,3.34,15
18.86,3.41,15
19.06,3.43,15
19.27,3.45,15
19.47,3.53,15
19.68,3.59,15
19.88,3.59,15
20.09,3.61,15
20.29,3.67,15
20.5,3.73,15
20.7,3.7,15
20.91,3.68,15
21.11,3.7,15
21.32,3.71,15
21.52,3.65,15
21.72,3.62,15
21.93,3.64,15
22.13,3.62,15
22.34,3.6,15
22.54,3.58,15
22.75,3.6,15
22.95,3.61,15
23.16,3.63,15
23.36,3.7,15
23.57,3.76,15
23.77,3.78,15
23.98,3.8,15
24.18,3.85,15
24.39,3.87,15
24.59,3.89,15
24.8,3.9,15
25,3.92,15
25.21,3.98,15
25.41,3.95,15
25.62,3.95,15
25.82,3.95,15
26.03,3.98,15
26.23,4.01,15
26.44,4.02,15
26.64,4.04,15
26.85,4.06,15
27.05,4.07,15
27.26,4.04,15
27.46,4.06,15
27.67,4.08,15
27.87,4.1,15
28.08,4.11,15
28.28,4.11,15
28.49,4.18,15
28.69,4.24,15
28.9,4.26,15
29.1,4.29,15
29.31,4.31,15
29.51,4.33,15
29.72,4.39,15
29.92,4.41,15
30.12,4.42,15
30.33,4.44,15
30.53,4.45,15
30.74,4.46,15
30.94,4.47,15
31.15,4.47,15
31.35,4.48,15
